# REAPER native action catalog (id\tname)
# Generated from REAPER 7.74 via SWS CF_EnumerateActions; native = ReverseNamedCommandLookup() empty.
# Native command IDs are stable across REAPER versions/platforms. Regenerate: see tools/README.md
300	Track: Set volume for track 36 (MIDI CC/OSC only)
301	Track: Set pan for track 36 (MIDI CC/OSC only)
302	Track: Toggle mute for track 36
303	Track: Toggle solo for track 36
304	Track: Toggle FX bypass for track 36
305	Track: Toggle record arm for track 36
306	Track: Set mute for track 36 (MIDI CC/OSC only)
307	Track: Set solo for track 36 (MIDI CC/OSC only)
308	Track: Set volume for track 37 (MIDI CC/OSC only)
309	Track: Set pan for track 37 (MIDI CC/OSC only)
310	Track: Toggle mute for track 37
311	Track: Toggle solo for track 37
312	Track: Toggle FX bypass for track 37
313	Track: Toggle record arm for track 37
314	Track: Set mute for track 37 (MIDI CC/OSC only)
315	Track: Set solo for track 37 (MIDI CC/OSC only)
316	Track: Set volume for track 38 (MIDI CC/OSC only)
317	Track: Set pan for track 38 (MIDI CC/OSC only)
318	Track: Toggle mute for track 38
319	Track: Toggle solo for track 38
320	Track: Toggle FX bypass for track 38
321	Track: Toggle record arm for track 38
322	Track: Set mute for track 38 (MIDI CC/OSC only)
323	Track: Set solo for track 38 (MIDI CC/OSC only)
324	Track: Set volume for track 39 (MIDI CC/OSC only)
325	Track: Set pan for track 39 (MIDI CC/OSC only)
326	Track: Toggle mute for track 39
327	Track: Toggle solo for track 39
328	Track: Toggle FX bypass for track 39
329	Track: Toggle record arm for track 39
330	Track: Set mute for track 39 (MIDI CC/OSC only)
331	Track: Set solo for track 39 (MIDI CC/OSC only)
332	Track: Set volume for track 40 (MIDI CC/OSC only)
333	Track: Set pan for track 40 (MIDI CC/OSC only)
334	Track: Toggle mute for track 40
335	Track: Toggle solo for track 40
336	Track: Toggle FX bypass for track 40
337	Track: Toggle record arm for track 40
338	Track: Set mute for track 40 (MIDI CC/OSC only)
339	Track: Set solo for track 40 (MIDI CC/OSC only)
340	Track: Set volume for track 41 (MIDI CC/OSC only)
341	Track: Set pan for track 41 (MIDI CC/OSC only)
342	Track: Toggle mute for track 41
343	Track: Toggle solo for track 41
344	Track: Toggle FX bypass for track 41
345	Track: Toggle record arm for track 41
346	Track: Set mute for track 41 (MIDI CC/OSC only)
347	Track: Set solo for track 41 (MIDI CC/OSC only)
348	Track: Set volume for track 42 (MIDI CC/OSC only)
349	Track: Set pan for track 42 (MIDI CC/OSC only)
350	Track: Toggle mute for track 42
351	Track: Toggle solo for track 42
352	Track: Toggle FX bypass for track 42
353	Track: Toggle record arm for track 42
354	Track: Set mute for track 42 (MIDI CC/OSC only)
355	Track: Set solo for track 42 (MIDI CC/OSC only)
356	Track: Set volume for track 43 (MIDI CC/OSC only)
357	Track: Set pan for track 43 (MIDI CC/OSC only)
358	Track: Toggle mute for track 43
359	Track: Toggle solo for track 43
360	Track: Toggle FX bypass for track 43
361	Track: Toggle record arm for track 43
362	Track: Set mute for track 43 (MIDI CC/OSC only)
363	Track: Set solo for track 43 (MIDI CC/OSC only)
364	Track: Set volume for track 44 (MIDI CC/OSC only)
365	Track: Set pan for track 44 (MIDI CC/OSC only)
366	Track: Toggle mute for track 44
367	Track: Toggle solo for track 44
368	Track: Toggle FX bypass for track 44
369	Track: Toggle record arm for track 44
370	Track: Set mute for track 44 (MIDI CC/OSC only)
371	Track: Set solo for track 44 (MIDI CC/OSC only)
372	Track: Set volume for track 45 (MIDI CC/OSC only)
373	Track: Set pan for track 45 (MIDI CC/OSC only)
374	Track: Toggle mute for track 45
375	Track: Toggle solo for track 45
376	Track: Toggle FX bypass for track 45
377	Track: Toggle record arm for track 45
378	Track: Set mute for track 45 (MIDI CC/OSC only)
379	Track: Set solo for track 45 (MIDI CC/OSC only)
380	Track: Set volume for track 46 (MIDI CC/OSC only)
381	Track: Set pan for track 46 (MIDI CC/OSC only)
382	Track: Toggle mute for track 46
383	Track: Toggle solo for track 46
384	Track: Toggle FX bypass for track 46
385	Track: Toggle record arm for track 46
386	Track: Set mute for track 46 (MIDI CC/OSC only)
